Driver,Team,TeamColor,StintNumber,StintID,Label,Compound,LapStart,LapEnd,TotalLaps,CleanLaps,AvgLapTime,DegradationSlope,StintLength,TyreLifeStart,AvgTrackTemp,CompoundEncoded,RegressionR2,RegressionIntercept,LapTimeStd,BestLapTime,WorstLapTime,AvgSpeedST,AvgAirTemp,HasSafetyCar,LapTimeSeries,DegradationZScore,IsOutlier
HAM,Mercedes,#888888,1,HAM_S1,HAM-M1,MEDIUM,1,15,15,13,85.24007692307691,-0.031373626373626576,15,1,49.35281706294163,1,0.08262596157936132,85.42831868131867,0.4250612625529127,84.771,86.043,324.46666666666664,33.4173373322831,False,"[86.043, 85.63, 85.722, 84.771, 84.919, 85.205, 84.871, 85.035, 84.909, 84.938, 84.932, 85.329, 85.817]",0.23629547454774377,False
HAM,Mercedes,#888888,2,HAM_S2,HAM-H2,HARD,16,37,22,20,83.92999999999999,-0.08796691729323315,22,1,46.10760437950577,2,0.7954153542626508,84.76568571428571,0.5835208921529271,83.328,84.915,325.59090909090907,32.648964169158056,False,"[84.843, 84.831, 84.649, 84.64, 84.915, 84.613, 84.132, 83.818, 83.804, 83.673, 83.495, 83.64, 83.507, 83.445, 83.36, 83.328, 83.397, 83.531, 83.378, 83.601]",-0.6988424818141243,False
HAM,Mercedes,#888888,3,HAM_S3,HAM-H3,HARD,38,53,16,15,82.68986666666666,0.02020357142857116,16,1,44.503991448143935,2,0.009639607894869395,82.54844166666666,0.9202661778503217,81.512,85.703,324.25,32.382935062493004,False,"[82.968, 83.012, 82.927, 82.52, 82.396, 82.136, 82.176, 82.307, 82.471, 82.794, 82.446, 82.243, 82.737, 85.703, 81.512]",0.05965528166002812,False
VER,Red Bull Racing,#888888,1,VER_S1,VER-H1,HARD,1,22,22,20,85.3206,-0.005073684210526438,22,1,48.619985956096706,2,0.007451619102869162,85.3688,0.3477219700005345,84.918,86.17,316.8181818181818,33.224976810530585,False,"[86.17, 85.855, 85.633, 85.218, 85.096, 85.042, 84.918, 85.05, 84.964, 84.978, 84.968, 84.957, 85.287, 85.746, 85.244, 85.34, 85.469, 85.537, 85.559, 85.381]",-0.11759030625932478,False
VER,Red Bull Racing,#888888,2,VER_S2,VER-H2,HARD,23,41,19,17,83.58823529411765,0.00924264705882367,19,1,45.53602830727485,2,0.048224771006589194,83.51429411764707,0.21253544687056483,83.424,84.337,319.2631578947368,32.55784232286819,False,"[83.545, 83.801, 83.618, 83.524, 83.509, 83.452, 83.542, 83.424, 83.49, 83.621, 83.576, 83.589, 83.559, 83.485, 83.427, 83.501, 84.337]",-0.017203358051257167,False
VER,Red Bull Racing,#888888,3,VER_S3,VER-M3,MEDIUM,42,53,12,11,82.778,0.0574090909090905,12,1,44.35724449966518,1,0.13815439531784507,82.49095454545456,0.5122649704986665,81.745,83.711,315.1666666666667,32.33869253364513,False,"[81.745, 83.045, 83.363, 82.941, 82.52, 82.57, 82.584, 82.585, 82.574, 82.92, 83.711]",0.9847302336634312,False
RUS,Mercedes,#888888,1,RUS_S1,RUS-M1,MEDIUM,1,11,11,9,85.44333333333333,-0.0957000000000008,11,1,49.94954411706185,1,0.5509882524696307,85.82613333333333,0.35307860314666706,85.046,86.055,326.3636363636364,33.55427670161246,False,"[86.055, 85.733, 85.762, 85.494, 85.101, 85.046, 85.216, 85.115, 85.468]",-0.30597328477094726,False
RUS,Mercedes,#888888,2,RUS_S2,RUS-H2,HARD,12,33,22,20,84.38174999999998,-0.05365488721804512,22,1,46.513975902260654,2,0.22837171795633143,84.8914714285714,0.664235601432599,83.177,85.504,328.90909090909093,32.71918922801165,False,"[84.546, 84.548, 84.56, 84.692, 84.546, 84.521, 84.706, 85.504, 84.626, 84.711, 84.624, 84.621, 85.174, 83.575, 83.732, 83.383, 83.516, 83.177, 85.331, 83.542]",-0.45824452963863505,False
RUS,Mercedes,#888888,3,RUS_S3,RUS-H3,HARD,34,53,20,19,82.8732105263158,-0.08384035087719263,20,1,44.6703198793789,2,0.41027900136317086,83.62777368421054,0.7365710027589061,82.036,85.166,327.95,32.41983420249304,False,"[82.944, 83.333, 83.158, 85.166, 83.142, 82.886, 84.039, 82.799, 82.939, 82.923, 82.685, 82.419, 82.343, 82.165, 82.036, 82.156, 82.311, 82.447, 82.7]",-0.669906757899221,False
PER,Red Bull Racing,#888888,1,PER_S1,PER-H1,HARD,1,23,23,21,85.42361904761907,0.005045454545454496,23,1,48.5060960202602,2,0.004950553077069803,85.37316450216453,0.444942409328499,84.654,86.411,318.69565217391306,33.2008843659699,False,"[86.411, 85.757, 85.805, 85.447, 85.105, 85.434, 85.186, 84.977, 84.841, 84.773, 84.654, 85.041, 85.229, 85.543, 85.434, 85.444, 85.448, 85.683, 86.111, 85.864, 85.709]",-0.046634316271743165,False
PER,Red Bull Racing,#888888,2,PER_S2,PER-H2,HARD,24,35,12,10,83.8789,-0.022466666666666024,12,1,45.7301956642641,2,0.020705272950710875,83.98,0.47271989592146274,83.473,85.086,320.1666666666667,32.570890471040194,False,"[84.109, 83.975, 83.784, 83.598, 83.854, 83.474, 85.086, 83.825, 83.473, 83.611]",-0.23955091167968082,False
PER,Red Bull Racing,#888888,3,PER_S3,PER-M3,MEDIUM,36,53,18,17,83.72217647058824,-0.027850490196078288,18,1,44.575194959950565,1,0.030847919615140107,83.94498039215686,0.8007371787370458,82.971,86.243,320.3888888888889,32.39254110387344,False,"[83.291, 86.243, 83.707, 83.393, 83.267, 83.908, 84.537, 83.617, 83.033, 82.996, 82.971, 83.315, 83.612, 83.39, 83.415, 84.071, 84.511]",0.26599537174708776,False
