kmeans_labels,Driver,LapNumber,Team,LapTime_Sec,Position,Compound,Sector1Time_Sec,Sector2Time_Sec,Sector3Time_Sec,TyreLife,TrackTemp,SpeedST,Compound_Num,pca_x,pca_y
3,STR,62.0,Aston Martin,75.284,10.0,HARD,25.646,26.99,22.648,10.0,28.0,324.0,3,0.05913919800895795,0.5336778929811734
0,TSU,62.0,Red Bull Racing,75.565,12.0,SOFT,25.858,27.142,22.565,12.0,28.0,316.0,1,0.08411621021982102,0.19578859219488837
0,OCO,62.0,Haas F1 Team,75.875,13.0,MEDIUM,26.251,27.052,22.572,10.0,28.0,317.0,2,0.08146616171039857,0.3549608288433945
0,COL,62.0,Alpine,75.887,14.0,MEDIUM,25.942,27.564,22.381,9.0,28.0,314.0,2,0.08920231624864183,0.3456584610135536
0,HUL,62.0,Kick Sauber,75.87,15.0,MEDIUM,25.766,27.375,22.729,9.0,28.0,320.0,2,0.08147508159011642,0.3464296027418252
0,LAW,62.0,Racing Bulls,74.418,16.0,SOFT,25.466,26.614,22.338,13.0,27.4,295.0,1,0.10414474159136954,0.24915165258484712
0,SAI,62.0,Williams,74.59,17.0,SOFT,25.275,26.792,22.523,14.0,27.4,307.0,1,0.08864472550072643,0.2601224313865173
0,BOR,62.0,Kick Sauber,74.422,18.0,SOFT,25.442,26.344,22.636,2.0,27.4,295.0,1,0.12445089867400208,0.1407329122997995
1,PIA,63.0,McLaren,72.781,1.0,HARD,24.747,25.924,22.11,11.0,27.4,295.0,3,0.07407881975956244,0.5838612802833019
1,NOR,63.0,McLaren,72.781,2.0,HARD,24.768,25.899,22.114,11.0,27.4,298.0,3,0.06968361071937246,0.5837672421439961
0,VER,63.0,Red Bull Racing,73.248,3.0,SOFT,24.913,26.27,22.065,13.0,27.4,301.0,1,0.08188503556602143,0.24649005682583633
0,HAD,63.0,Racing Bulls,73.755,4.0,SOFT,24.895,26.531,22.329,12.0,27.4,297.0,1,0.09674011235895659,0.23861058188187573
0,RUS,63.0,Mercedes,73.73,5.0,SOFT,25.022,26.582,22.126,13.0,27.4,307.0,1,0.07951378726440883,0.24768190339108995
0,ALB,63.0,Williams,73.771,6.0,SOFT,25.069,26.736,21.966,10.0,27.4,320.0,1,0.0666075541166121,0.21756839667622502
0,ANT,63.0,Mercedes,74.222,7.0,SOFT,25.212,26.849,22.161,13.0,27.4,321.0,1,0.0654137740464729,0.24854079969318027
3,GAS,63.0,Alpine,76.426,10.0,HARD,26.232,27.392,22.802,40.0,27.9,303.0,3,0.048783128677509446,0.8409004286802698
0,BEA,63.0,Haas F1 Team,74.473,8.0,MEDIUM,25.397,26.519,22.557,10.0,27.9,315.0,2,0.07007829412049496,0.3604835758428605
1,STR,63.0,Aston Martin,75.954,9.0,HARD,26.106,27.237,22.611,11.0,27.9,285.0,3,0.1210914825611304,0.5526958927079142
3,ALO,63.0,Aston Martin,75.89,11.0,HARD,25.826,27.159,22.905,23.0,27.9,322.0,3,0.04709477300491527,0.6718243532166214
0,TSU,63.0,Red Bull Racing,75.72,12.0,SOFT,25.767,27.475,22.478,13.0,27.9,311.0,1,0.09302362241140028,0.21401261780647696
0,OCO,63.0,Haas F1 Team,75.61,13.0,MEDIUM,25.778,27.277,22.555,11.0,27.9,314.0,2,0.08363085278308036,0.3729215023526546
0,COL,63.0,Alpine,75.588,14.0,MEDIUM,25.786,27.374,22.428,10.0,27.9,315.0,2,0.08359558485815703,0.3627450963987162
0,HUL,63.0,Kick Sauber,75.589,15.0,MEDIUM,25.7,27.083,22.806,10.0,27.9,323.0,2,0.0728185166521833,0.36335540932639104
0,LAW,63.0,Racing Bulls,74.078,16.0,SOFT,25.207,26.495,22.376,14.0,27.9,296.0,1,0.09252603177290111,0.2203850612926731
0,SAI,63.0,Williams,74.775,17.0,SOFT,25.194,26.977,22.604,15.0,27.9,309.0,1,0.0820452672940116,0.23255976104054255
0,BOR,63.0,Kick Sauber,74.307,18.0,SOFT,25.4,26.45,22.457,3.0,27.9,299.0,1,0.11045707587321811,0.11176757559414469
3,PIA,64.0,McLaren,72.668,1.0,HARD,24.836,25.886,21.946,12.0,27.9,292.0,3,0.06946686063383752,0.5547033463290341
3,NOR,64.0,McLaren,72.765,2.0,HARD,24.702,25.877,22.186,12.0,27.9,301.0,3,0.05876610317711578,0.5555237336122056
0,VER,64.0,Red Bull Racing,73.298,3.0,SOFT,24.866,26.304,22.128,14.0,27.9,303.0,1,0.07321758432557444,0.21840426009641983
0,HAD,64.0,Racing Bulls,73.699,4.0,SOFT,24.774,26.588,22.337,13.0,27.9,303.0,1,0.08121694703893116,0.2102482576996722
0,RUS,64.0,Mercedes,73.791,5.0,SOFT,25.041,26.651,22.099,14.0,27.9,308.0,1,0.07204371421848421,0.21935690854725798
0,ALB,64.0,Williams,73.837,6.0,SOFT,24.964,26.776,22.097,11.0,27.9,327.0,1,0.051345695424947324,0.18969187398799525
0,ANT,64.0,Mercedes,73.509,7.0,SOFT,24.821,26.66,22.028,14.0,27.9,317.0,1,0.056312825840690334,0.2188077982985112
0,BEA,64.0,Haas F1 Team,74.085,8.0,MEDIUM,25.161,26.453,22.471,11.0,27.9,298.0,2,0.08831165418959269,0.369935410703107
3,STR,64.0,Aston Martin,74.109,9.0,HARD,25.447,26.363,22.299,12.0,27.9,318.0,3,0.0494933642167584,0.5576587618176585
3,GAS,64.0,Alpine,76.35,10.0,HARD,26.027,27.366,22.957,41.0,27.9,304.0,3,0.04560716508220894,0.8512778861707604
3,ALO,64.0,Aston Martin,75.783,11.0,HARD,25.742,27.028,23.013,24.0,27.9,316.0,3,0.05285574347771871,0.681848553014107
0,TSU,64.0,Red Bull Racing,75.829,12.0,SOFT,25.928,27.326,22.575,14.0,27.9,302.0,1,0.10483915165931694,0.22411546495472218
0,OCO,64.0,Haas F1 Team,75.694,13.0,MEDIUM,25.808,27.203,22.683,12.0,27.9,320.0,2,0.0743275363978079,0.3830844817484277
0,COL,64.0,Alpine,75.751,14.0,MEDIUM,25.744,27.544,22.463,11.0,27.9,313.0,2,0.08715072295847591,0.3733283065118377
0,HUL,64.0,Kick Sauber,75.749,15.0,MEDIUM,25.843,27.081,22.825,11.0,27.9,322.0,2,0.07395178581457675,0.3734280298806709
0,LAW,64.0,Racing Bulls,74.043,16.0,SOFT,25.223,26.456,22.364,15.0,27.9,293.0,1,0.09442534931658042,0.23016808924995352
0,SAI,64.0,Williams,74.819,17.0,SOFT,25.346,26.896,22.577,16.0,27.9,307.0,1,0.0829173691176892,0.2422074668590582
0,BOR,64.0,Kick Sauber,74.95,18.0,SOFT,25.397,26.881,22.672,4.0,27.9,299.0,1,0.11775710866309533,0.12393710706598632
1,PIA,65.0,McLaren,80.782,1.0,HARD,24.678,25.959,30.145,13.0,27.9,292.0,3,0.18637816536224353,0.6010414642841144
0,VER,65.0,Red Bull Racing,85.241,2.0,SOFT,24.92,26.477,33.844,15.0,27.9,300.0,1,0.24879033765837388,0.2807847142444916
0,HAD,65.0,Racing Bulls,84.73,3.0,SOFT,24.864,26.716,33.15,14.0,27.9,300.0,1,0.24336283803885805,0.26851271995509307
0,RUS,65.0,Mercedes,86.288,4.0,SOFT,25.01,28.805,32.473,15.0,27.9,302.0,1,0.2593166655207292,0.2818595895157955
0,ALB,65.0,Williams,87.311,5.0,SOFT,25.12,29.014,33.177,12.0,27.9,323.0,1,0.2488474088513931,0.25564989707697716
0,ANT,65.0,Mercedes,88.515,6.0,SOFT,24.978,30.548,32.989,15.0,27.9,320.0,1,0.2651212100810347,0.2891812481755314
0,BEA,65.0,Haas F1 Team,93.296,7.0,MEDIUM,25.295,33.909,34.092,12.0,27.9,297.0,2,0.36204300261437994,0.45420336351699436
1,STR,65.0,Aston Martin,93.094,8.0,HARD,25.241,34.387,33.466,13.0,27.9,308.0,3,0.33441371272426224,0.6416076807009141
3,GAS,65.0,Alpine,94.192,10.0,HARD,26.384,37.925,29.883,42.0,27.9,295.0,3,0.307880072610162,0.9245054495825964
3,ALO,65.0,Aston Martin,92.859,9.0,HARD,25.765,36.865,30.229,25.0,27.9,317.0,3,0.29199325215376426,0.7538088980524237
0,TSU,65.0,Red Bull Racing,95.003,11.0,SOFT,26.157,39.293,29.553,15.0,27.9,294.0,1,0.38496013367136306,0.30179703894730114
0,OCO,65.0,Haas F1 Team,95.418,12.0,MEDIUM,26.202,39.528,29.688,13.0,27.9,299.0,2,0.37989709303061836,0.46227583938869227
0,COL,65.0,Alpine,96.875,14.0,MEDIUM,26.088,40.377,30.41,12.0,27.9,312.0,2,0.3844495006873201,0.45790566656933646
0,HUL,65.0,Kick Sauber,96.04,13.0,MEDIUM,25.948,42.192,27.9,12.0,27.9,325.0,2,0.35349213596212464,0.4520679734935335
0,LAW,65.0,Racing Bulls,97.51,15.0,SOFT,31.514,36.543,29.453,16.0,27.9,293.0,1,0.39228323671327137,0.3058165144508586
0,SAI,65.0,Williams,99.735,16.0,SOFT,33.716,37.555,28.464,17.0,27.9,308.0,1,0.38832621049542193,0.31542005289990405
0,BOR,65.0,Kick Sauber,99.064,17.0,SOFT,34.18,39.13,25.754,5.0,27.9,299.0,1,0.4097139492477004,0.1898417543002518
2,PIA,66.0,McLaren,124.186,1.0,HARD,40.193,50.174,33.819,14.0,27.7,201.0,3,0.8459110058038133,0.726669899646529
2,VER,66.0,Red Bull Racing,115.387,2.0,SOFT,32.669,47.993,34.725,16.0,27.7,205.0,1,0.7668415063107794,0.38154824800315684
2,HAD,66.0,Racing Bulls,115.087,3.0,SOFT,35.714,45.259,34.114,15.0,27.7,232.0,1,0.7100223667198725,0.3618375506302758
2,RUS,66.0,Mercedes,111.825,4.0,SOFT,34.519,43.925,33.381,16.0,27.7,152.0,1,0.7827429066142153,0.3649958813208475
2,ALB,66.0,Williams,110.945,5.0,SOFT,34.341,43.938,32.666,13.0,27.7,192.0,1,0.7191917092062844,0.33144728125850753
2,ANT,66.0,Mercedes,110.171,6.0,SOFT,33.862,44.188,32.121,16.0,27.7,229.0,1,0.6521505535267327,0.35865623195812063
2,BEA,66.0,Haas F1 Team,100.986,7.0,MEDIUM,32.86,37.826,30.3,13.0,27.7,188.0,2,0.5848717129376814,0.4805183553584386
2,STR,66.0,Aston Martin,102.199,8.0,HARD,32.457,38.747,30.995,14.0,27.7,169.0,3,0.6224269371351404,0.6754029588891346
2,ALO,66.0,Aston Martin,103.827,9.0,HARD,35.307,37.963,30.557,26.0,27.7,183.0,3,0.5886207017110503,0.7912207789287822
2,GAS,66.0,Alpine,103.566,10.0,HARD,35.0,39.117,29.449,43.0,27.7,180.0,3,0.5593552593963896,0.9580220009371608
2,TSU,66.0,Red Bull Racing,103.498,11.0,SOFT,34.276,39.503,29.719,16.0,27.7,207.0,1,0.5869819838050031,0.3342517445873733
2,OCO,66.0,Haas F1 Team,103.247,12.0,MEDIUM,34.138,39.772,29.337,14.0,27.7,191.0,2,0.6032932571191987,0.4927721314012247
2,HUL,66.0,Kick Sauber,102.95,13.0,MEDIUM,34.182,40.579,28.189,13.0,27.7,222.0,2,0.5557517588709872,0.4798000996345777
4,COL,66.0,Alpine,113.536,14.0,SOFT,46.966,35.334,31.236,1.0,27.7,312.0,1,0.5405104986288932,0.18509309949509434
2,LAW,66.0,Racing Bulls,103.068,15.0,SOFT,35.252,38.332,29.484,17.0,27.7,215.0,1,0.5626260986026514,0.3399417024928137
4,SAI,66.0,Williams,117.774,17.0,SOFT,49.042,36.464,32.268,4.0,27.7,308.0,1,0.5899873748142089,0.22403275365919068
2,BOR,66.0,Kick Sauber,104.015,16.0,SOFT,35.691,37.039,31.285,6.0,27.7,242.0,1,0.5559772745536973,0.2348807610419162
2,PIA,67.0,McLaren,123.205,1.0,HARD,45.908,43.844,33.453,15.0,27.9,184.0,3,0.8234598252894308,0.7036757631544462
2,VER,67.0,Red Bull Racing,122.527,2.0,SOFT,44.771,45.173,32.583,17.0,27.9,202.0,1,0.8042759874850456,0.3647523378215297
2,HAD,67.0,Racing Bulls,122.136,3.0,SOFT,44.779,45.205,32.152,16.0,27.9,135.0,1,0.896172366889358,0.3540926861770896
2,RUS,67.0,Mercedes,121.997,4.0,SOFT,44.981,45.771,31.245,17.0,27.9,121.0,1,0.9109008110045304,0.36203973471000406
2,ALB,67.0,Williams,122.125,5.0,SOFT,45.097,45.893,31.135,14.0,27.9,100.0,1,0.9475144460316421,0.3326187127429964
2,ANT,67.0,Mercedes,121.968,6.0,SOFT,44.74,45.786,31.442,17.0,27.9,108.0,1,0.9304255989947425,0.3630274804499152
2,BEA,67.0,Haas F1 Team,118.472,7.0,MEDIUM,41.303,45.661,31.508,14.0,27.9,210.0,2,0.7515044637416217,0.5087569761716566
2,STR,67.0,Aston Martin,117.21,8.0,HARD,39.928,46.504,30.778,15.0,27.9,170.0,3,0.7886750355854848,0.6968832781061893
2,ALO,67.0,Aston Martin,116.72,9.0,HARD,38.556,45.891,32.273,27.0,27.9,273.0,3,0.6205663224265435,0.8180566154431077
2,GAS,67.0,Alpine,116.518,10.0,HARD,38.914,46.257,31.347,44.0,27.9,263.0,3,0.5988575585624083,0.9837287927035474
2,TSU,67.0,Red Bull Racing,116.467,11.0,SOFT,38.398,47.012,31.057,17.0,27.9,244.0,1,0.6911381865639104,0.35944202391256513
2,OCO,67.0,Haas F1 Team,116.928,12.0,MEDIUM,39.665,45.793,31.47,15.0,27.9,223.0,2,0.7178465427365487,0.5177830153159312
2,HUL,67.0,Kick Sauber,117.07,13.0,MEDIUM,39.823,45.281,31.966,14.0,27.9,240.0,2,0.6968065927759819,0.5083339384028452
2,COL,67.0,Alpine,106.683,14.0,SOFT,33.263,41.994,31.426,2.0,28.0,283.0,1,0.5512948790488603,0.18610317091634715
