kmeans_labels,Driver,LapNumber,Team,LapTime_Sec,Position,Sector1Time_Sec,Sector2Time_Sec,Sector3Time_Sec,TyreLife,TrackTemp,SpeedST,Compound_Num,pca_x,pca_y
2,RUS,43.0,Mercedes,85.065,4.0,29.511,18.617,36.937,9.0,19.3,298.0,3,0.10055598539652877,0.2757055939889264
2,LEC,43.0,Ferrari,85.271,6.0,29.433,18.459,37.379,10.0,19.3,295.0,3,0.09985979397828315,0.28149205900698127
4,TSU,43.0,Racing Bulls,84.194,5.0,29.553,18.1,36.541,10.0,19.3,304.0,2,0.10584263751050807,0.01633855249164573
4,ALB,43.0,Williams,84.597,7.0,29.496,18.2,36.901,10.0,19.3,287.0,2,0.13248480482645164,0.026026824591511954
2,HAM,43.0,Ferrari,84.218,8.0,29.552,18.475,36.191,11.0,19.3,293.0,3,0.09236400196951033,0.28695620434774244
2,GAS,43.0,Alpine,85.02,9.0,29.787,18.627,36.606,10.0,19.3,294.0,3,0.10202622553774474,0.28298711432286877
2,ANT,43.0,Mercedes,84.901,10.0,29.606,18.461,36.834,10.0,19.3,297.0,3,0.09568041702973809,0.28100830411764643
2,STR,43.0,Aston Martin,85.538,11.0,29.78,18.445,37.313,11.0,19.3,301.0,3,0.08895670447698592,0.2830750832176286
4,HUL,43.0,Kick Sauber,85.243,12.0,30.039,18.732,36.472,10.0,19.3,296.0,2,0.12757401093470755,0.020928760469238417
4,BOR,43.0,Kick Sauber,84.192,13.0,29.066,18.822,36.304,10.0,19.3,294.0,2,0.12118178382222233,0.01788662292302623
4,LAW,43.0,Red Bull Racing,82.97,14.0,28.841,18.234,35.895,10.0,19.3,295.0,2,0.10971076752926764,0.018467006301949307
4,OCO,43.0,Haas F1 Team,88.505,15.0,30.027,18.897,39.581,4.0,19.3,292.0,2,0.1825394761014456,0.0
2,NOR,44.0,McLaren,105.587,6.0,28.841,18.581,58.165,11.0,19.3,305.0,3,0.18975497460550356,0.2751122606705552
4,VER,44.0,Red Bull Racing,86.789,1.0,28.766,18.154,39.869,10.0,19.3,298.0,2,0.1256886955753848,0.0163896311652183
2,RUS,44.0,Mercedes,106.238,8.0,29.685,18.585,57.968,10.0,19.3,304.0,3,0.20324720356580067,0.27538265216935476
4,TSU,44.0,Racing Bulls,88.252,2.0,29.703,18.442,40.107,11.0,19.3,299.0,2,0.1320731438456841,0.022309510253364917
2,LEC,44.0,Ferrari,96.363,5.0,29.953,18.038,48.372,11.0,19.3,291.0,3,0.16141529220810177,0.2906025996627158
4,ALB,44.0,Williams,105.335,9.0,29.876,18.171,57.288,11.0,19.3,290.0,2,0.23790762991600817,0.028383948699427175
2,HAM,44.0,Ferrari,89.454,3.0,29.929,18.44,41.085,12.0,19.3,312.0,3,0.09013271910957546,0.2805651827031088
2,GAS,44.0,Alpine,88.332,4.0,29.467,18.594,40.271,11.0,19.3,296.0,3,0.11074997850801388,0.2841300683079158
2,ANT,44.0,Mercedes,108.276,11.0,29.991,18.732,59.553,11.0,19.3,292.0,3,0.22821498995026668,0.28703162657446774
2,STR,44.0,Aston Martin,104.738,10.0,29.501,18.324,56.913,12.0,19.3,300.0,3,0.18866265028491014,0.28555355765920065
4,HUL,44.0,Kick Sauber,106.696,12.0,30.497,18.959,57.24,11.0,19.3,293.0,2,0.2468487314773416,0.02630952436181777
4,BOR,44.0,Kick Sauber,112.582,13.0,30.251,18.627,63.704,11.0,19.3,265.0,2,0.3166086534915358,0.04304874607431364
4,LAW,44.0,Red Bull Racing,86.332,7.0,28.698,18.777,38.857,11.0,19.3,305.0,2,0.11041739890066116,0.013494441551572978
4,OCO,44.0,Haas F1 Team,93.574,14.0,30.003,18.857,44.714,5.0,19.3,291.0,2,0.20630164609347668,0.004096343317804507
4,VER,45.0,Red Bull Racing,92.874,1.0,29.993,18.865,44.016,11.0,19.3,277.0,2,0.19165984867696312,0.03508010965200303
4,TSU,45.0,Racing Bulls,95.983,3.0,30.48,18.605,46.898,12.0,19.3,270.0,2,0.2143695027941457,0.04579299885069221
2,HAM,45.0,Ferrari,93.045,2.0,29.877,18.836,44.332,13.0,19.3,268.0,3,0.1688528342217213,0.3091607430278866
2,GAS,45.0,Alpine,92.969,4.0,30.352,18.899,43.718,12.0,19.3,287.0,3,0.14862287978706248,0.2956414044759338
2,LEC,45.0,Ferrari,91.269,5.0,29.782,18.516,42.971,12.0,19.3,280.0,3,0.1454328750051767,0.2989641240276264
2,NOR,45.0,McLaren,96.407,6.0,37.17,18.913,40.324,1.0,19.3,223.0,4,0.31658249625644236,0.5823940474329271
4,LAW,45.0,Red Bull Racing,97.844,7.0,31.402,18.773,47.669,12.0,19.3,289.0,2,0.2018256106113215,0.03738841196340792
2,RUS,45.0,Mercedes,96.33,8.0,37.662,18.989,39.679,1.0,19.3,224.0,4,0.3170119596088005,0.5835544863814155
2,ALB,45.0,Williams,96.573,9.0,37.246,18.881,40.446,1.0,19.3,219.0,4,0.32336369991044484,0.5852298371998771
2,STR,45.0,Aston Martin,97.256,10.0,37.854,19.421,39.981,1.0,19.3,222.0,4,0.32750475326027634,0.5840024053332139
2,ANT,45.0,Mercedes,95.593,11.0,37.157,19.091,39.345,1.0,19.3,223.0,4,0.31282421254381204,0.5817723893755348
2,HUL,45.0,Kick Sauber,97.137,12.0,37.709,19.258,40.17,1.0,19.3,211.0,4,0.3412816133408452,0.5906385515069114
2,BOR,45.0,Kick Sauber,96.255,13.0,37.176,19.099,39.98,1.0,19.3,209.0,4,0.3365213956099846,0.5902602651887604
4,OCO,45.0,Haas F1 Team,96.259,14.0,30.74,18.823,46.696,6.0,19.3,276.0,2,0.24004397955744944,0.01992420931635297
4,VER,46.0,Red Bull Racing,112.606,5.0,31.037,19.186,62.383,12.0,19.3,266.0,2,0.31565655302059636,0.047494191998562196
2,HAM,46.0,Ferrari,96.714,1.0,30.967,19.082,46.665,14.0,19.3,276.0,3,0.17775389144877107,0.31148471167889746
4,TSU,46.0,Racing Bulls,100.978,4.0,34.153,18.442,48.383,13.0,19.3,256.0,2,0.27046691344788004,0.0734066658741549
4,GAS,46.0,Alpine,116.069,11.0,33.157,18.982,63.93,13.0,19.3,262.0,3,0.31702134485782935,0.3244026500851598
2,PIA,45.0,McLaren,98.184,15.0,36.775,19.084,42.325,1.0,19.3,216.0,4,0.3354308961382146,0.5843074462196163
2,LEC,46.0,Ferrari,96.429,2.0,31.136,17.831,47.462,13.0,19.3,256.0,3,0.2052765265393221,0.3248889410993823
2,NOR,46.0,McLaren,91.567,3.0,31.083,19.028,41.456,2.0,19.3,292.0,4,0.16282463965354527,0.519210634915014
2,BEA,45.0,Haas F1 Team,101.777,16.0,38.459,19.274,44.044,1.0,19.3,219.0,4,0.3583056338606696,0.5885466977453578
4,LAW,46.0,Red Bull Racing,99.457,9.0,32.773,19.003,47.681,13.0,19.3,263.0,2,0.24902229315035757,0.06163533454197612
2,RUS,46.0,Mercedes,91.87,6.0,31.808,18.881,41.181,2.0,19.3,292.0,4,0.16675158108024796,0.5226857279255003
2,ALB,46.0,Williams,92.795,7.0,31.869,18.953,41.973,2.0,19.3,272.0,4,0.2008800527609247,0.5347418623980508
2,STR,46.0,Aston Martin,92.361,10.0,31.718,19.199,41.444,2.0,19.3,292.0,4,0.17041217511932263,0.5211834127272764
2,ANT,46.0,Mercedes,90.78,8.0,31.827,18.635,40.318,2.0,19.3,288.0,4,0.16553839608237306,0.5261042985063967
2,HUL,46.0,Kick Sauber,91.21,12.0,31.335,19.143,40.732,2.0,19.3,294.0,4,0.15950448653671542,0.5186594789148412
4,OCO,46.0,Haas F1 Team,141.745,13.0,40.828,23.639,77.278,7.0,19.3,227.0,2,0.6139533213287971,0.07543721422644956
1,HAM,47.0,Ferrari,,9.0,43.851,29.959,76.885,15.0,19.3,198.0,3,0.6760269360969915,0.3745420716179697
2,PIA,46.0,McLaren,111.022,14.0,34.707,25.856,50.459,2.0,19.3,263.0,4,0.35365162007552337,0.5268449311961635
1,LEC,47.0,Ferrari,,10.0,41.619,31.863,78.975,14.0,19.3,218.0,3,0.6613673819834196,0.34278402642699707
2,NOR,47.0,McLaren,113.728,1.0,36.023,26.573,51.132,3.0,19.3,228.0,4,0.42148543278726613,0.5545611532866022
4,TSU,47.0,Racing Bulls,,11.0,44.638,33.072,75.602,14.0,19.3,183.0,2,0.7587828012921161,0.11065188349671518
1,VER,47.0,Red Bull Racing,127.213,2.0,40.7,31.56,54.953,1.0,19.3,224.0,4,0.5507326685875007,0.5506210388426876
2,RUS,47.0,Mercedes,122.439,3.0,35.488,31.352,55.599,3.0,19.3,276.0,4,0.418581149207212,0.5062037296068217
2,ALB,47.0,Williams,125.49,4.0,35.865,32.418,57.207,3.0,19.3,245.0,4,0.48545169786879,0.522647311775551
2,BEA,46.0,Haas F1 Team,125.498,15.0,35.08,32.355,58.063,2.0,19.3,248.0,4,0.482957147297154,0.5140625064903527
2,ANT,47.0,Mercedes,125.75,5.0,34.497,33.267,57.986,3.0,19.3,260.0,4,0.4635947579247225,0.5049758015419225
1,STR,47.0,Aston Martin,125.678,6.0,34.89,33.105,57.683,3.0,19.3,229.0,4,0.5082982901433842,0.5259300500701694
1,GAS,47.0,Alpine,126.74,8.0,45.479,24.021,57.24,1.0,19.3,221.0,4,0.5398436814864408,0.5982693184365118
2,HUL,47.0,Kick Sauber,125.179,7.0,38.914,29.037,57.228,3.0,19.3,252.0,4,0.47173046735616836,0.5426963682652989
1,OCO,47.0,Haas F1 Team,127.226,12.0,52.325,26.25,48.651,1.0,19.3,190.0,4,0.6233067099642663,0.6374580363140065
1,PIA,47.0,McLaren,120.17,13.0,41.299,28.61,50.261,3.0,19.3,177.0,4,0.5589986773104898,0.5997065871007454
1,NOR,48.0,McLaren,136.995,1.0,42.091,29.643,65.261,4.0,19.3,224.0,4,0.5863556509915215,0.5736701437122302
1,VER,48.0,Red Bull Racing,122.406,2.0,38.909,23.85,59.647,2.0,19.3,192.0,4,0.5255000177487396,0.593399626376539
1,RUS,48.0,Mercedes,123.129,3.0,40.318,24.087,58.724,4.0,19.3,163.0,4,0.5671586112287377,0.623404262585048
2,ALB,48.0,Williams,119.008,4.0,39.533,21.649,57.826,4.0,19.3,198.0,4,0.4813551561018363,0.6076801708052941
2,BEA,47.0,Haas F1 Team,118.594,14.0,39.315,22.038,57.241,3.0,19.3,215.0,4,0.4607369045764751,0.5914100220930514
2,ANT,48.0,Mercedes,118.429,5.0,40.189,21.083,57.157,4.0,19.3,199.0,4,0.47700025448618255,0.6117713466954136
1,STR,48.0,Aston Martin,119.297,6.0,40.496,21.252,57.549,4.0,19.3,172.0,4,0.5221860780971409,0.6287456333309369
1,HUL,48.0,Kick Sauber,120.075,7.0,41.96,21.517,56.598,4.0,19.3,167.0,4,0.5405107552277147,0.6368327725831835
1,GAS,48.0,Alpine,121.785,8.0,41.932,22.835,57.018,2.0,19.3,185.0,4,0.5398641331572978,0.6136352469303935
1,HAM,48.0,Ferrari,119.219,9.0,44.112,22.186,52.921,1.0,19.3,190.0,4,0.5297821709211885,0.618227883883354
2,LEC,48.0,Ferrari,116.044,10.0,42.86,21.823,51.361,1.0,19.3,208.0,4,0.48023803044593105,0.6036253238706076
1,TSU,48.0,Racing Bulls,116.286,11.0,44.076,21.954,50.256,1.0,19.3,183.0,4,0.5226059249989876,0.6232988736035633
0,OCO,48.0,Haas F1 Team,106.416,12.0,40.046,20.638,45.732,2.0,18.8,216.0,4,0.4390316500251794,0.9138104618498963
0,PIA,48.0,McLaren,102.413,13.0,37.344,20.296,44.773,4.0,18.8,150.0,4,0.48881797629520973,0.9515918053671044
1,NOR,49.0,McLaren,144.979,1.0,52.528,32.458,59.993,5.0,18.8,147.0,4,0.8322256112899291,0.9749323763990541
1,VER,49.0,Red Bull Racing,144.892,2.0,51.981,32.432,60.479,3.0,18.8,181.0,4,0.7912304629211109,0.9446779777931358
1,RUS,49.0,Mercedes,144.163,3.0,52.027,31.92,60.216,5.0,18.8,128.0,4,0.8506105075955651,0.9862894492595677
1,ALB,49.0,Williams,144.662,4.0,51.77,32.102,60.79,5.0,18.8,129.0,4,0.8516538762283145,0.9839653346508535
1,BEA,48.0,Haas F1 Team,144.788,14.0,51.7,31.711,61.377,4.0,18.8,115.0,4,0.8755211836209997,0.9897468064501642
1,ANT,49.0,Mercedes,144.964,5.0,51.54,31.716,61.708,5.0,18.8,115.0,4,0.8707391676933866,0.9928159895064227
1,STR,49.0,Aston Martin,145.123,6.0,50.928,32.514,61.681,5.0,18.8,145.0,4,0.829732035674514,0.9693559098955817
1,HUL,49.0,Kick Sauber,144.804,7.0,50.498,32.115,62.191,5.0,18.8,140.0,4,0.8317340347072909,0.9720162355146003
1,GAS,49.0,Alpine,144.669,8.0,48.264,32.422,63.983,3.0,18.8,204.0,4,0.7423714808569843,0.9155021249388138
1,HAM,49.0,Ferrari,144.575,9.0,47.408,32.622,64.545,2.0,18.8,182.0,4,0.7757938263933684,0.9208573636825104
1,LEC,49.0,Ferrari,142.777,10.0,45.441,32.69,64.646,2.0,18.8,168.0,4,0.7783812261984733,0.9211118110044257
1,TSU,49.0,Racing Bulls,142.564,11.0,45.095,32.615,64.854,2.0,18.8,165.0,4,0.7798031379137284,0.9217772165471493
0,OCO,49.0,Haas F1 Team,101.743,12.0,38.787,20.242,42.714,3.0,18.8,258.0,4,0.3417693964224108,0.8886067417073944
0,PIA,49.0,McLaren,100.44,13.0,37.63,20.249,42.561,5.0,18.8,205.0,4,0.3953968778512993,0.9235026052678814
1,NOR,50.0,McLaren,142.395,1.0,53.654,31.089,57.652,6.0,18.8,128.0,4,0.838802965583204,0.9997279336618936
1,VER,50.0,Red Bull Racing,142.085,2.0,52.682,32.177,57.226,4.0,18.8,127.0,4,0.8494830300638978,0.9850689474835128
1,RUS,50.0,Mercedes,142.305,3.0,53.048,31.69,57.567,6.0,18.8,120.0,4,0.8498274838164322,1.0
1,ALB,50.0,Williams,141.482,4.0,52.815,31.26,57.407,6.0,18.8,137.0,4,0.8183503013725674,0.9902875094895092
0,BEA,49.0,Haas F1 Team,110.488,14.0,45.915,21.257,43.316,5.0,18.8,193.0,4,0.5046768167027423,0.9607668865439426
1,ANT,50.0,Mercedes,140.284,5.0,51.512,30.864,57.908,6.0,18.8,171.0,4,0.7564600630208849,0.9657824219737974
1,STR,50.0,Aston Martin,139.57,6.0,50.984,31.146,57.44,6.0,18.8,170.0,4,0.7530611043041668,0.9632802775536555
1,HUL,50.0,Kick Sauber,139.444,7.0,51.223,30.682,57.539,6.0,18.8,130.0,4,0.8084261732835463,0.9901005727151488
1,GAS,50.0,Alpine,137.754,8.0,49.575,30.79,57.389,4.0,18.8,223.0,4,0.6706960395519028,0.9192215237148085
1,HAM,50.0,Ferrari,137.095,9.0,49.8,29.673,57.622,3.0,18.8,225.0,4,0.6655810371396103,0.9190928380377705
1,LEC,50.0,Ferrari,139.782,10.0,50.079,29.365,60.338,3.0,18.8,188.0,4,0.7328680839542321,0.9435513451743771
1,TSU,50.0,Racing Bulls,140.101,11.0,49.609,29.727,60.765,3.0,18.8,187.0,4,0.7356859578681301,0.9409484779075501
0,OCO,50.0,Haas F1 Team,122.853,12.0,35.793,26.509,60.551,4.0,18.8,256.0,4,0.4693202015963231,0.858257100575305
0,PIA,50.0,McLaren,123.732,13.0,34.861,26.734,62.137,6.0,18.8,266.0,4,0.4468422364112342,0.8550446571418274
0,BEA,50.0,Haas F1 Team,96.187,14.0,33.885,20.099,42.203,6.0,18.8,258.0,4,0.27588012866969486,0.8805291878964536
1,NOR,51.0,McLaren,134.178,1.0,46.614,29.935,57.629,7.0,18.8,193.0,4,0.6631647492702715,0.9396467834202835
1,VER,51.0,Red Bull Racing,133.879,2.0,47.272,29.576,57.031,5.0,18.8,135.0,4,0.7556207077698587,0.9712259685879132
1,RUS,51.0,Mercedes,133.149,3.0,47.256,29.53,56.363,7.0,18.8,162.0,4,0.7026058562430222,0.962525703369719
1,ALB,51.0,Williams,133.177,4.0,47.246,29.759,56.172,7.0,18.8,147.0,4,0.7250721402838238,0.9707717018189661
1,ANT,51.0,Mercedes,132.971,5.0,46.897,29.666,56.408,7.0,18.8,148.0,4,0.7207401487960814,0.969064684022968
1,STR,51.0,Aston Martin,133.847,6.0,46.45,29.796,57.601,7.0,18.8,173.0,4,0.6886427242304871,0.951583904546663
1,HUL,51.0,Kick Sauber,132.717,7.0,46.37,29.224,57.123,7.0,18.8,175.0,4,0.6768929648278843,0.9520945159347515
1,GAS,51.0,Alpine,131.745,8.0,46.466,28.377,56.902,5.0,18.8,138.0,4,0.7314348292313526,0.9703772286454366
1,HAM,51.0,Ferrari,131.311,9.0,49.266,25.65,56.395,4.0,18.8,178.0,4,0.6768553831788853,0.9634041586164221
1,LEC,51.0,Ferrari,127.996,10.0,46.891,25.694,55.411,4.0,18.8,218.0,4,0.5924052463250596,0.929456101214587
1,TSU,51.0,Racing Bulls,127.055,11.0,45.712,26.251,55.092,4.0,18.8,211.0,4,0.5948833648033549,0.926968184509251
1,OCO,51.0,Haas F1 Team,127.663,13.0,45.866,26.039,55.758,5.0,18.8,190.0,4,0.6227548304906793,0.9447717336050208
