kmeans_labels,Driver,LapNumber,Team,LapTime_Sec,Position,Compound,S1_Delta,S2_Delta,S3_Delta,TyreLife,TrackTemp,SpeedST,Compound_Num,pca_x,pca_y
1,HUL,5.0,Kick Sauber,77.351,16.0,SOFT,2.0700000000000003,2.2070000000000007,1.0859999999999985,5.0,27.8,302.0,1,1.4029179638885951,-2.208402848745252
1,OCO,5.0,Haas F1 Team,77.541,17.0,HARD,1.8909999999999982,2.5360000000000014,1.1259999999999977,5.0,27.8,293.0,3,1.9038757629591072,-1.0388834426051283
1,STR,5.0,Aston Martin,77.4,18.0,MEDIUM,1.693999999999999,2.4579999999999984,1.259999999999998,5.0,27.8,303.0,2,1.5058439455874157,-1.2334436572442034
1,BOR,5.0,Kick Sauber,77.395,19.0,MEDIUM,1.779,2.439,1.189,5.0,27.8,310.0,2,1.544668269522943,-0.982697742397871
0,BEA,5.0,Haas F1 Team,76.941,20.0,HARD,1.5129999999999981,2.215,1.2249999999999979,5.0,27.8,303.0,3,1.0959846392776682,-0.3957975406532344
1,PIA,6.0,McLaren,75.251,1.0,MEDIUM,1.011999999999997,1.439,0.8119999999999976,6.0,27.5,287.0,2,-0.874537949738828,-1.4510815105886052
1,VER,6.0,Red Bull Racing,75.748,2.0,SOFT,1.1649999999999991,1.5970000000000013,0.9979999999999976,6.0,27.5,294.0,1,-0.4950789203122135,-1.9669670391331007
1,NOR,6.0,McLaren,75.552,3.0,MEDIUM,0.8249999999999993,1.7399999999999984,0.9989999999999988,6.0,27.5,289.0,2,-0.6064002028370141,-1.2694900639007438
1,HAD,6.0,Racing Bulls,75.905,4.0,MEDIUM,0.9399999999999977,2.067,0.9100000000000001,6.0,27.5,292.0,2,-0.11413513633928693,-1.2179990599806974
1,LEC,6.0,Ferrari,75.869,5.0,MEDIUM,1.3009999999999984,1.7710000000000008,0.8089999999999975,6.0,27.5,306.0,2,-0.08296553008074459,-0.8080666504384829
1,RUS,6.0,Mercedes,75.962,6.0,MEDIUM,1.2759999999999998,1.811,0.8869999999999969,6.0,27.5,316.0,2,-0.004403816799411585,-0.36722687273873017
1,HAM,6.0,Ferrari,75.684,7.0,MEDIUM,1.2880000000000003,1.5839999999999996,0.8239999999999981,6.0,27.5,291.0,2,-0.32961146057612867,-1.4329445607957518
1,LAW,6.0,Racing Bulls,76.433,8.0,MEDIUM,1.416999999999998,1.8679999999999986,1.1600000000000001,6.0,27.5,309.0,2,0.43739633184512616,-0.7326533145914047
1,SAI,6.0,Williams,76.515,9.0,MEDIUM,1.4889999999999972,1.8829999999999991,1.1549999999999976,6.0,27.5,295.0,2,0.5371297998601403,-1.3682315419423623
1,ALB,6.0,Williams,76.633,10.0,MEDIUM,1.445999999999998,2.071999999999999,1.126999999999999,6.0,27.5,295.0,2,0.6969387783423621,-1.3529154842476443
1,TSU,6.0,Red Bull Racing,76.696,11.0,SOFT,1.629999999999999,2.248000000000001,0.8299999999999983,6.0,27.5,276.0,1,0.7810458588146952,-3.011516523278608
1,ANT,6.0,Mercedes,76.671,12.0,MEDIUM,1.485999999999997,2.2109999999999985,0.9859999999999971,6.0,27.5,305.0,2,0.8262953430085661,-0.9584672368162217
1,ALO,6.0,Aston Martin,76.748,13.0,MEDIUM,1.5410000000000004,2.0330000000000013,1.186,6.0,27.5,310.0,2,0.820505402349325,-0.7611990424148499
1,COL,6.0,Alpine,76.9,14.0,SOFT,1.639999999999997,2.3230000000000004,0.9489999999999981,6.0,27.5,309.0,1,0.9897832017465473,-1.6093644185640978
1,GAS,6.0,Alpine,76.69,15.0,MEDIUM,1.4649999999999999,2.128,1.1089999999999982,6.0,27.5,308.0,2,0.785263377927751,-0.8119512371987692
1,HUL,6.0,Kick Sauber,76.598,16.0,SOFT,1.4429999999999978,2.137999999999998,1.029,6.0,27.5,314.0,1,0.5668019943782994,-1.281547189056012
0,OCO,6.0,Haas F1 Team,76.694,17.0,HARD,1.578999999999997,2.0219999999999985,1.1049999999999969,6.0,27.5,306.0,3,0.9449572380120654,-0.2209238046350999
1,STR,6.0,Aston Martin,76.934,18.0,MEDIUM,1.6609999999999978,2.215,1.0699999999999967,6.0,27.5,301.0,2,1.1132134682611439,-1.2194596574586767
1,BOR,6.0,Kick Sauber,76.775,19.0,MEDIUM,1.5410000000000004,2.161999999999999,1.0839999999999996,6.0,27.5,305.0,2,0.9055821184420813,-0.9825123178041304
0,BEA,6.0,Haas F1 Team,77.15,20.0,HARD,1.7019999999999982,2.1149999999999984,1.3449999999999989,6.0,27.5,300.0,3,1.3855080625862928,-0.5366195292123587
3,PIA,7.0,McLaren,75.208,1.0,MEDIUM,0.9160000000000004,1.3840000000000003,0.9199999999999982,7.0,27.5,284.0,2,-0.9801851779835595,-1.4563630122003208
1,VER,7.0,Red Bull Racing,75.648,2.0,SOFT,0.9189999999999969,1.7109999999999985,1.0299999999999976,7.0,27.5,290.0,1,-0.6376699455240943,-1.943390096338192
3,NOR,7.0,McLaren,75.236,3.0,MEDIUM,0.782,1.6080000000000005,0.857999999999997,7.0,27.5,291.0,2,-0.9139110931404636,-1.0966951302901726
1,HAD,7.0,Racing Bulls,75.589,4.0,MEDIUM,0.8049999999999997,1.934000000000001,0.8619999999999983,7.0,27.5,295.0,2,-0.4742674161185553,-0.9499081690373052
1,LEC,7.0,Ferrari,75.362,5.0,MEDIUM,1.1999999999999993,1.5169999999999995,0.657,7.0,27.5,310.0,2,-0.6231872771667711,-0.5151835072696532
