kmeans_labels,Driver,LapNumber,Team,LapTime_Sec,Position,Compound,S1_Delta,S2_Delta,S3_Delta,TyreLife,SpeedST,TrackTemp,Compound_Num,pca_x,pca_y
3,SAI,18.0,Williams,76.614,9.0,MEDIUM,1.2829999999999977,2.1679999999999993,1.1749999999999972,18.0,293.0,27.1,2,1.2084059251059596,-0.321385376629303
3,ALB,18.0,Williams,76.528,10.0,MEDIUM,1.0589999999999975,2.312000000000001,1.168999999999997,18.0,309.0,27.1,2,0.9956645453973031,-0.003839100410085566
3,TSU,18.0,Red Bull Racing,77.11,11.0,SOFT,1.4689999999999976,2.350999999999999,1.3019999999999996,18.0,305.0,27.2,1,2.0008278089466947,-0.599618028889008
3,ANT,18.0,Mercedes,77.037,12.0,MEDIUM,1.5229999999999997,2.311,1.2149999999999999,18.0,308.0,27.2,2,1.9772851514336915,-0.5107693527847161
2,ALO,18.0,Aston Martin,79.636,14.0,MEDIUM,1.3339999999999996,2.4239999999999995,3.889999999999997,18.0,325.0,27.2,2,4.675334495244946,4.953536696529151
3,GAS,18.0,Alpine,76.779,13.0,MEDIUM,1.286999999999999,2.271000000000001,1.232999999999997,18.0,302.0,27.2,2,1.4498085016652682,-0.2020731662946122
3,COL,18.0,Alpine,77.437,15.0,SOFT,1.3879999999999981,2.5809999999999995,1.4799999999999969,18.0,310.0,27.2,1,2.4559036902054374,-0.2579977532603793
3,HUL,18.0,Kick Sauber,77.162,16.0,SOFT,1.3829999999999991,2.344999999999999,1.445999999999998,18.0,306.0,27.2,1,1.9689347599228528,-0.20074315251410063
3,OCO,18.0,Haas F1 Team,77.43,17.0,HARD,1.6899999999999977,2.2270000000000003,1.5249999999999986,18.0,298.0,27.2,3,2.5482422678109433,0.11627593783483493
3,BOR,18.0,Kick Sauber,77.208,18.0,MEDIUM,1.408999999999999,2.5010000000000012,1.3099999999999987,18.0,309.0,27.2,2,2.205618860487849,-0.2956872634575909
3,BEA,18.0,Haas F1 Team,77.381,19.0,HARD,1.8219999999999992,2.411999999999999,1.158999999999999,18.0,310.0,27.2,3,2.753191624179201,-0.7717973579714492
1,STR,18.0,Aston Martin,76.314,20.0,HARD,1.2299999999999969,1.838000000000001,1.2579999999999991,10.0,308.0,27.2,3,0.5473850309973497,0.25231741473358665
1,PIA,19.0,McLaren,75.487,1.0,MEDIUM,0.820999999999998,1.6699999999999982,1.0079999999999991,19.0,296.0,27.2,2,-0.8642030327617629,0.32191202344857783
1,NOR,19.0,McLaren,75.547,2.0,MEDIUM,0.7709999999999972,1.7420000000000009,1.0459999999999994,19.0,299.0,27.2,2,-0.7930595778245263,0.43825936245383684
3,VER,19.0,Red Bull Racing,76.435,3.0,SOFT,0.9549999999999983,2.280999999999999,1.2109999999999985,19.0,296.0,27.2,1,0.741220348282287,-0.12083414530807418
3,HAD,19.0,Racing Bulls,76.358,4.0,MEDIUM,0.916999999999998,2.3389999999999986,1.1139999999999972,19.0,300.0,27.1,2,0.7146560596849324,0.010005402441657577
1,LEC,19.0,Ferrari,76.18,5.0,MEDIUM,1.1329999999999991,2.0100000000000016,1.0489999999999995,19.0,301.0,27.1,2,0.4608391877381373,-0.17113720330120255
3,RUS,19.0,Mercedes,76.223,6.0,MEDIUM,1.0619999999999976,2.1769999999999996,0.9959999999999987,19.0,307.0,27.1,2,0.5660182415350803,-0.23835767681237963
1,HAM,19.0,Ferrari,76.171,7.0,MEDIUM,1.0449999999999982,2.1310000000000002,1.006999999999998,19.0,313.0,27.1,2,0.4479594432699475,-0.11507620479860964
3,LAW,19.0,Racing Bulls,77.021,8.0,MEDIUM,1.3569999999999993,2.184000000000001,1.4919999999999973,19.0,296.0,27.1,2,1.7311716615677983,0.24389811854289514
3,SAI,19.0,Williams,76.63,9.0,MEDIUM,1.1649999999999991,2.242000000000001,1.2349999999999994,19.0,290.0,27.1,2,1.1808297516155672,-0.09535514086708514
3,ALB,19.0,Williams,76.665,10.0,MEDIUM,1.041999999999998,2.4190000000000005,1.2159999999999975,19.0,310.0,27.1,2,1.2160635280315966,0.08196782780363782
2,TSU,19.0,Red Bull Racing,80.019,12.0,SOFT,1.596,2.404,4.030999999999999,19.0,306.0,27.1,1,5.323951378446213,4.500972557549702
3,ANT,19.0,Mercedes,77.489,11.0,MEDIUM,1.8729999999999976,2.3099999999999987,1.3179999999999978,19.0,309.0,27.1,2,2.8118049060495665,-0.7159276639175015
3,GAS,19.0,Alpine,77.483,13.0,MEDIUM,1.4549999999999983,2.585000000000001,1.4549999999999983,19.0,295.0,27.1,2,2.649177442589837,-0.21605308931021125
2,COL,19.0,Alpine,79.497,14.0,SOFT,1.3949999999999996,2.4480000000000004,3.665999999999997,19.0,296.0,27.1,1,4.617736631617692,3.939979404032698
2,HUL,19.0,Kick Sauber,79.257,16.0,SOFT,1.5169999999999995,2.277000000000001,3.474999999999998,19.0,306.0,27.1,1,4.322123205579784,3.6115724677307113
3,OCO,19.0,Haas F1 Team,77.189,15.0,HARD,1.5139999999999993,2.222999999999999,1.4639999999999986,19.0,303.0,27.1,3,2.1244157673410884,0.29930273156986675
3,BOR,19.0,Kick Sauber,77.384,17.0,MEDIUM,1.448999999999998,2.6340000000000003,1.3129999999999988,19.0,300.0,27.1,2,2.5688464429336264,-0.4704896810839354
3,BEA,19.0,Haas F1 Team,77.64,18.0,HARD,1.7189999999999976,2.6020000000000003,1.3309999999999995,19.0,313.0,27.1,3,3.099029521761186,-0.3735494041893685
3,STR,19.0,Aston Martin,76.45,19.0,HARD,1.3059999999999974,1.8649999999999984,1.2909999999999968,11.0,306.0,27.1,3,0.8061468606285616,0.21687118674150607
1,PIA,20.0,McLaren,75.602,1.0,MEDIUM,0.7749999999999986,1.779,1.0599999999999987,20.0,297.0,26.7,2,-0.6375090791061909,0.4448061108124403
1,NOR,20.0,McLaren,75.644,2.0,MEDIUM,0.8679999999999986,1.661999999999999,1.1259999999999977,20.0,298.0,26.7,2,-0.5993917442249681,0.5369428294029427
3,VER,20.0,Red Bull Racing,76.71,3.0,SOFT,1.314,2.1119999999999983,1.2959999999999994,20.0,287.0,26.7,1,1.3163452985277981,-0.35671898409331504
3,HAD,20.0,Racing Bulls,76.584,4.0,MEDIUM,1.001999999999999,2.3610000000000007,1.232999999999997,20.0,297.0,26.7,2,1.1103563620706416,0.11854656358061008
3,LEC,20.0,Ferrari,76.611,5.0,MEDIUM,1.3299999999999983,2.0470000000000006,1.2459999999999987,20.0,302.0,26.7,2,1.1913083364715176,-0.030067497279979562
3,RUS,20.0,Mercedes,76.573,6.0,MEDIUM,1.3170000000000002,2.094000000000001,1.1739999999999995,20.0,299.0,26.7,2,1.1800209322799788,-0.2077715277382558
