Driver,Team,LapNumber,Stint,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,FreshTyre,SpeedI1,SpeedI2,SpeedFL,SpeedST,AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall,IsInLap,IsOutLap,IsSafetyCar,IsFirstLap,IsCleanLap,Position,TeamColor,LapStartSeconds,TrackStatus
PIA,McLaren,9.0,1.0,84.375,27.637,28.751,27.987,MEDIUM,9.0,True,309.0,312.0,309.0,316.0,33.3,49.12258129031183,31.245162580623656,1.5283861935634393,0.0,False,False,False,False,True,1.0,#888888,4031.698,1
PIA,McLaren,10.0,1.0,84.077,27.687,28.554,27.836,MEDIUM,10.0,True,309.0,312.0,309.0,319.0,33.3,48.68389800849929,31.0,1.296611949004252,0.0,False,False,False,False,True,1.0,#888888,4116.073,1
PIA,McLaren,11.0,1.0,84.247,27.6,28.726,27.921,MEDIUM,11.0,True,309.0,312.0,310.0,319.0,33.24378509890183,48.48757019780366,31.0,1.631355296705497,0.0,False,False,False,False,True,1.0,#888888,4200.15,1
PIA,McLaren,12.0,1.0,84.748,27.848,28.86,28.04,MEDIUM,12.0,True,309.0,313.0,309.0,317.0,33.2,47.72373889712867,31.0,1.596608728981619,0.0,False,False,False,False,True,1.0,#888888,4284.397,1
PIA,McLaren,13.0,1.0,84.67,27.747,28.831,28.092,MEDIUM,13.0,True,309.0,313.0,310.0,320.0,33.06216297283786,47.6,31.621629728378597,1.1135110814864209,0.0,False,False,False,False,True,1.0,#888888,4369.145,1
PIA,McLaren,14.0,1.0,85.048,27.812,29.03,28.206,MEDIUM,14.0,True,309.0,311.0,309.0,320.0,33.0,47.52105666666667,31.0,2.089433333333333,0.0,False,False,False,False,True,1.0,#888888,4453.815,1
PIA,McLaren,15.0,1.0,85.166,27.84,29.099,28.227,MEDIUM,15.0,True,311.0,311.0,309.0,320.0,32.9,47.97930528701914,31.0,2.217221148076537,0.0,False,False,False,False,True,1.0,#888888,4538.863,1
PIA,McLaren,16.0,1.0,89.939,27.891,29.279,32.769,MEDIUM,16.0,True,312.0,313.0,0.0,319.0,32.83736814917265,47.9,31.0,1.9626318508273493,0.0,True,False,False,False,False,1.0,#888888,4624.029,1
PIA,McLaren,17.0,2.0,104.25,46.989,29.31,27.951,HARD,1.0,True,320.0,310.0,310.0,283.0,32.812512080514544,47.762463758456356,30.125120805145468,1.8374395974272668,0.0,False,True,False,False,False,4.0,#888888,4713.968,1
PIA,McLaren,18.0,2.0,84.028,27.464,28.817,27.747,HARD,2.0,True,313.0,314.0,311.0,320.0,32.9,47.241374139913034,31.0,1.6586258600869654,0.0,False,False,False,False,True,4.0,#888888,4818.218,1
PIA,McLaren,19.0,2.0,84.602,27.593,28.979,28.03,HARD,3.0,True,311.0,312.0,312.0,307.0,32.8,46.947519125318756,31.0,1.2475191253187563,0.0,False,False,False,False,True,4.0,#888888,4902.246,1
PIA,McLaren,20.0,2.0,83.986,27.418,28.823,27.745,HARD,4.0,True,313.0,315.0,311.0,321.0,32.8,46.66550327516376,31.0,1.436241812090606,0.0,False,False,False,False,True,3.0,#888888,4986.848,1
PIA,McLaren,21.0,2.0,83.903,27.438,28.73,27.735,HARD,5.0,True,310.0,312.0,312.0,322.0,32.8,46.485722389055724,31.071388054721382,2.171444778111448,0.0,False,False,False,False,True,3.0,#888888,5070.834,1
PIA,McLaren,22.0,2.0,83.647,27.447,28.518,27.682,HARD,6.0,True,312.0,315.0,312.0,320.0,32.75293705944108,46.25293705944108,31.529370594410835,1.8,0.0,False,False,False,False,True,3.0,#888888,5154.737,1
PIA,McLaren,23.0,2.0,83.66,27.398,28.459,27.803,HARD,7.0,True,317.0,318.0,312.0,322.0,32.7,46.11355494459718,31.0,1.540664833791553,0.0,False,False,False,False,True,1.0,#888888,5238.384,1
PIA,McLaren,24.0,2.0,83.315,27.339,28.287,27.689,HARD,8.0,True,312.0,314.0,311.0,329.0,32.6,45.848243216214414,31.0,1.3035135675711702,0.0,False,False,False,False,True,1.0,#888888,5322.044,1
